KD-01,Terlambat masuk sekolah Satu kali,10
KD-02,"Siswa putri memakai perhiasan (kalung, gelang, dll) atau bros berlebihan",30
KD-03,Makan dan minum di dalam kelas saat berlangsung pelajaran,15
KD-04,Membawa benda yang tidak ada kaitannya dengan proses belajar,25
KD-05,Terlambat masuk kelas karena alasan dibuat-buat,20
KD-06,Sakit tanpa keterangan (surat),10
KD-07,Izin tanpa keterangan,10
KD-08,Alfa,10
KD-09,Membuat keributan/ kegaduhan dalam kelas saat berlangsung pelajaran,20
KD-10,Membawa benda yang tidak ada kaitannya dengan proses belajar,25
KD-11,Bermain sepak bola bukan pada saat olah raga atau kegiatan sekolah,50
KD-12,Membuang sampah sembarangan di lingkungan sekolah,50
KD-13,Keluar kelas saat proses belajar mengajar berlangsung tanpa alasan,25
KD-14,Tidak mengikuti upacara bendera atau senam,25
KD-15,Tidak menghadiri kegiatan ekstrakurikuler,25
KD-16,Memakai sandal ke sekolah tanpa alasan yang jelas,25
KD-17,Tidak memakai ikat pinggang hitam sesuai ketentuan,20
KD-18,Tidak memakai sepatu hitam bertali,25
KD-19,Tidak memakai pakaian olah raga saat senam,25
KD-20,Tidak memakai jilbab sesuai ketentuan bagi siswa putri,25
KD-21,Memakai jaket/ switer ke dalam kelas dan di lingkungan sekolah,25
KD-22,Memanjangkan kuku/ mencatnya,25
KD-23,Memakai sandal ke sekolah tanpa alasan yang jelas,25
KD-24,Pendek/ dicukur tidak rapi untuk siswa putra,25
KD-25,"Panjang melalui batas ketentuan (telinga, alis, dan krah baju)",50
KD-26,Dicat rambut / warna-warnai (putra/putri),25
KD-27,"Mengotori / mencoret-coret benda milik sekolah ( meja, kursi, buku pelajaran, ruang kelas dan halaman kelas)",75
KD-28,Masuk lingkungan sekolah dengan loncat pagar,100
KD-29,Keluar dari lingkungan sekolah tanpa izin,105
KD-30,Merusak/ menghilangkan barang milik sekolah,80
KD-31,Bertengkar/ bertentangan dengan teman di lingkungan sekolah,90
KD-32,Izin keluar kelas saat proses belajar berlangsung dan tidak kembali,70
KD-33,Tidak mengikuti kegiatan belajar (bolos),90
KD-34,Memakai seragam yang ketat,60
KD-35,Tidak berpakaian seragam lengkap beserta atribut (sesuai ketentuan),70
KD-36,Memakai topi yang bukan atribut sekolah atau aksesoris yang tidak berkaitan dengan sekolah,75
KD-37,Potongan rambut tidak sesuai dengan peraturan sekolah,80
KD-38,Membawa senjata tajam tanpa izin,140
KD-39,Pulang tanpa izin,140
KD-40,Bersenda gurau/ mengejek yang berakibat perselisihan,110
KD-41,Merokok di luar lingkungan sekolah pada saat masih  memakai seragam sekolah,145
KD-42,Berjudi di luar lingkungan sekolah,145
KD-43,Membuat keributan di luar sekolah,110
KD-44,Mencemarkan nama baik sekolah,150
KD-45,"Mengambil (mencuri) / meminta  sesuatu  milik  sekolah ,guru, pegawai, teman  dengan  cara  apapun  yang  tidak  dibenarkan  berdasarkan  aturan  dan  etika",150
KD-46,Pacaran di lingkungan sekolah,150
KD-47,Membawa motor ke sekolah atau menitipkan motor di sekitar sekolah,150
KD-48,Merokok/ menghisap rokok di sekolah atau di tempat lain pada saat jam sekolah,160
KD-49,Berkelahi siswa di dalam sekolah,150
KD-50,Membuat keributan di sekolah,165
KD-51,Membawa buku/ kaset/ CD porno,165
KD-52,Membawa HP ke dalam lingkungan sekolah tanpa izin,165
KD-53,Tidak sopan pada guru/ staf tata usaha,165
KD-54,Merokok di lingkungan sekolah,165
KD-55,Memperjual belikan senjata tajam,175
KD-56,Melakukan perbuatan yang berakibat mencemarkan nama baik sekolah,180
KD-57,Menggunakan obat/ minuman terlarang/ zat kimia lain,180
KD-58,Melakukan tindakan asusila (maksiat) di dalam maupun di luar lingkungan sekolah,200
KD-59,Menggunakan senjata tajam untuk mengancam,200
KD-60,Menggunakan senjata tajam untuk melukai orang lain di lingkungan sekolah,200
KD-61,Tawuran dengan sekolah lain,190
KD-62,Minum minuman keras,200
KD-63,Membuat tatto,190
KD-64,Memperjual belikan obat/ minuman terlarang/ zat kimia lain,200
KD-65,Membawa obat/ minuman terlarang/ zat kimia lain,200
